"Iteration","Thrust (Turbine1) Monitor: Thrust (Turbine1) Monitor (N)","Thrust (Turbine2) Monitor: Thrust (Turbine2) Monitor (N)"
555.0,510399.3429447918,338629.4359367552
556.0,510400.68142515834,338630.6902607743
557.0,510402.0746285488,338631.6072490828
558.0,510403.4927280758,338632.33752950927
559.0,510404.9293171625,338632.965266789
560.0,510406.3290921877,338633.5326410927
561.0,510407.6478780551,338634.04493447754
562.0,510408.8934816812,338634.521205249
563.0,510410.04992332275,338634.97761277336
564.0,510411.0491281185,338635.4213225447
565.0,510411.89524198323,338635.8561955086
566.0,510412.6033471073,338636.28473325854
567.0,510413.17215577065,338636.70289033814
568.0,510413.5968082045,338637.1079224946
569.0,510413.8781827077,338637.4968051679
570.0,510414.0348855912,338637.86787979794
571.0,510414.07623418054,338638.21974000486
572.0,510414.00252236787,338638.5518199576
573.0,510413.81562302774,338638.8645752493
574.0,510413.52547803946,338639.1590520856
575.0,510413.15503377916,338639.4375052718
576.0,510412.72682386875,338639.7038604079
577.0,510412.2337540979,338639.96340941417
578.0,510411.6848372489,338640.2208284403
579.0,510411.0967019585,338640.48197979666
580.0,510410.4910393464,338640.75158543664
581.0,510409.8650081747,338641.03647966526
582.0,510409.22023061255,338641.34024546907
583.0,510408.55698829505,338641.6652641597
584.0,510407.88541229814,338642.01174662187
585.0,510407.20429634396,338642.38022331015
586.0,510406.51298630045,338642.7671713562
587.0,510405.8115190963,338643.1681527427
588.0,510405.1040687255,338643.5779433352
589.0,510404.3901349465,338643.9898457786
590.0,510403.6678324013,338644.39848562685
591.0,510402.9329539391,338644.7967811024
592.0,510402.1849934634,338645.18024117174
593.0,510401.4189986082,338645.5442759336
594.0,510400.6301199665,338645.88728252036
595.0,510399.81200819986,338646.20815969614
596.0,510398.9556071492,338646.5087212718
597.0,510398.0571312402,338646.79156279383
598.0,510397.1097417385,338647.06209468073
599.0,510396.1076816337,338647.3261298086
600.0,510395.0485196535,338647.5913909633
601.0,510393.92975806294,338647.865418733
602.0,510392.7523644392,338648.1567380006
603.0,510391.5150529367,338648.47300754924
604.0,510390.2190202798,338648.82233751996
605.0,510388.8673797101,338649.2115798149
606.0,510387.46470274415,338649.64696268045
607.0,510386.0163929717,338650.13446251175
608.0,510384.5272052407,338650.67824602517
609.0,510383.0018173771,338651.2817960423
610.0,510381.4456316996,338651.9482256711
611.0,510379.8640409293,338652.67904947995
612.0,510378.26135928975,338653.4755281419
613.0,510376.6421591305,338654.3376720531
614.0,510375.01226351137,338655.2646217354
615.0,510373.37648527685,338656.2554185462
616.0,510371.7400050433,338657.309487119
617.0,510370.1062724328,338658.4243223184
618.0,510368.4789926496,338659.59862529713
619.0,510366.8621952845,338660.8310344696
620.0,510365.25900212664,338662.1196440205
621.0,510363.6761764251,338663.4626231952
622.0,510362.112466867,338664.85763438215
623.0,510360.5667882558,338666.302001871
624.0,510359.03932089946,338667.7933267142
625.0,510357.5307784568,338669.3288832782
626.0,510356.0413768445,338670.9061512004
627.0,510354.570960596,338672.52291222446
628.0,510353.11911670055,338674.1764543109
629.0,510351.68520135846,338675.8637536107
630.0,510350.26970705565,338677.5821506032
631.0,510348.8691712519,338679.3280100235
632.0,510347.4815660504,338681.0980650423
633.0,510346.10627093934,338682.8889689801
634.0,510344.7425046632,338684.69748644345
635.0,510343.38352728717,338686.52050239866
636.0,510342.0375313709,338688.3538244217
637.0,510340.7017360914,338690.19416481943
638.0,510339.3748360207,338692.0379712206
639.0,510338.05590936536,338693.88165319874
640.0,510336.7444777314,338695.72170934384
641.0,510335.44020293636,338697.55486845813
642.0,510334.1429718902,338699.3780584586
643.0,510332.8528890828,338701.1884702962
644.0,510331.5702401936,338702.9835846158
645.0,510330.29541464493,338704.7611869927
646.0,510329.02890000894,338706.5193449184
647.0,510327.7712737225,338708.2564374253
648.0,510326.52315466147,338709.971025841
649.0,510325.2851571379,338711.6620664696
650.0,510324.05787769356,338713.32882915833
